Feature,Ridge_L2,Lasso_L1,Elastic_Net
StudentID,0.0006636257391648553,0.0,0.0
Gender,-0.0024265018495426205,-0.0,-0.0
City,-4.7644987953442064e-05,-0.0,-0.0
CollegeTier,-0.011034377154763464,-0.0003649036624466096,-0.00639717080144018
Stream,-0.002217755447424287,-0.0,-0.0006183486429411734
Specialisation,-0.001006137355633218,-0.0,-0.0
Hostel,-0.0019292536442336908,-0.0,-0.0
HistoryOfBacklogs,-0.09264895755636565,-0.044340478287434835,-0.06882865223813885
SGPA_Sem1,-0.02166995659985993,-0.0,-0.0
SGPA_Sem2,-0.020847816896964536,-0.0,-0.0
SGPA_Sem3,-0.01275236007375345,-0.0,-0.0
SGPA_Sem4,0.0010783147630750406,-0.0,-0.0
SGPA_Sem5,0.008575459866324063,-0.0,-0.0
SGPA_Sem6,0.010997188916068395,-0.0,-0.0
SGPA_Sem7,0.018131052323652915,-0.0,-0.0
SGPA_Sem8,0.024744852076248436,-0.0,0.0
CGPA,-0.09884472043212933,-0.007257134237034457,-0.04151666986108622
AttendancePercent,0.011435987687242353,0.007001800606031183,0.010460277165415048
Internships,0.024594385545050463,0.017068955913042725,0.019871909919033707
Projects,0.02526072120318907,0.01726668127974001,0.019815314100980384
Workshops,8.455602952375567e-05,0.0019261866317068577,0.0019330793687043091
Certifications,0.005557659303478644,0.010620314139268465,0.00919547460623014
Publications,-0.013258844383033153,0.0,-0.0
AptitudeTestScore,0.03120246205800906,0.017559805886419935,0.023976628402958368
SoftSkillsRating,0.015529061765741157,0.02574179825955351,0.02260837794815363
CodingTestScore,0.014335091013982369,0.0,0.00343501851283379
MockInterviewScore,-0.006276615111634145,0.006824378192654547,0.00282667504420308
ExtraCurricular,-0.03263508044420815,-0.009388840935649668,-0.019562911802155452
CGPA_Tier,0.2811276940649997,0.2321904449806898,0.24828483839174864
Salary Package,0.5223483679923446,0.4227422385314126,0.4554484370526002
IsAnomaly,-0.005574570973941405,-0.0,-0.0
